instance lad vbdpd vbbjdpd vbbjdpdnosup vbbjdpdnocad tvbbjdpd vf2 snd
si6_r01_m200.08 3477.471000 381 399 30 450 343 100000000 3694.000
si6_r01_m200.02 30169.413000 420 428 51 457 351 100000000 5574.000
si6_r01_m200.09 13595.933000 1253 1267 638 1847 453 100000000 11496.000
si6_r01_m200.07 8414.720000 384 388 26 432 343 100000000 6004.000
si6_r01_m200.00 18056.255000 549 561 147 975 361 100000000 11665.000
si6_r01_m200.01 97509.176000 1436 1452 884 1207 434 100000000 13467.000
si6_r01_m200.03 59720.921000 467 477 97 560 351 100000000 42857.000
si6_r01_m200.05 65967.971000 1268 1271 785 1028 402 100000000 18058.000
si6_r01_m200.06 40179.891000 639 658 208 628 424 100000000 67317.000
si2_b03m_m800.03 29.995000 58 55 13 74 54 0 1592.000
si2_b03m_m800.02 24.996000 72 70 20 71 68 0 1670.00
si2_b03m_m800.09 29.995000 103 106 19 103 97 0 1762.000
si2_b03m_m800.04 31.995000 106 106 21 104 101 0 1618.000
si2_b03m_m800.06 24.996000 162 155 17 158 144 1 1492.000
si2_b03m_m800.05 29.995000 205 162 26 159 152 0 1908.000
si2_b03m_m800.01 41.993000 107 114 24 118 94 0 1673.000
si2_b03m_m800.08 29.995000 68 89 21 71 62 0 2007.000
si2_b03m_m800.07 28.995000 56 55 32 60 53 0 1872.000
si2_b03m_m800.00 27.995000 67 68 13 67 66 0 1553.000
si2_r001_m200.06 11.998000 5 5 99089 5 7 12380978 648.000
si2_r001_m200.01 12.998000 9 10 262 10 8 100000000 608.000
si2_r001_m200.02 15.997000 7 11 4176 7 8 100000000 843.000
si2_r001_m200.07 13.997000 6 6 8 7 7 1386937 730.00
si2_r001_m200.04 10.998000 5 6 21 6 8 3861944 717.000
si2_r001_m200.05 25.996000 6 6 4656 6 8 4657397 910.00
si2_r001_m200.09 14.997000 6 7 140025 6 6 100000000 734.000
si2_r001_m200.03 42.993000 8 7 105018 5 7 100000000 633.000
si2_r001_m200.00 13.997000 5 5 1 5 7 9191048 699.000
si2_r001_m200.08 19.996000 6 9 40586637 6 7 100000000 635.000
si6_b03m_m800.01 80.987000 215 215 47 216 204 4 7614.000
si6_b03m_m800.08 104.984000 337 404 49 347 316 2 8968.000
si6_b03m_m800.03 72.988000 162 162 70 207 160 3 7194.000
si6_b03m_m800.00 86.986000 264 265 64 233 212 2 7654.000
si6_b03m_m800.04 81.987000 155 155 64 143 148 2 9218.000
si6_b03m_m800.05 78.987000 217 215 48 203 205 2 7614.000
si6_b03m_m800.07 74.988000 214 213 47 216 203 4 7446.000
