instance sat family density lad vbdpd vbbjdpd vf2 snd
si4-b06-m400.03 1 3 160 480.926000 108 109 0 1357.000
si4-b06-m400.00 1 3 160 694.894000 113 108 0 1255.000
si4-b06-m400.05 1 3 160 646.901000 110 127 0 1317.000
si4-b06-m400.08 1 3 160 486.925000 110 109 0 1505.000
si4-b06-m400.02 1 3 160 520.920000 108 138 0 1238.000
si2-m4Dr6-m256.06 1 6 51 24.996000 15 15 0 812.000
si2-m4Dr6-m256.05 1 6 51 26.995000 23 23 0 904.000
si2-m4Dr6-m256.09 1 6 51 40.993000 42 41 0 660.00
si2-m4Dr6-m256.00 1 6 51 23.996000 28 29 0 1070.00
si2-m4Dr6-m256.07 1 6 51 17.997000 21 16 0 647.000
si2-m4Dr6-m256.04 1 6 51 38.994000 27 26 0 688.000
si2-m4Dr6-m256.02 1 6 51 34.994000 18 23 0 819.000
si2-m4Dr6-m256.01 1 6 51 18.997000 14 21 0 748.000
si2-m4Dr6-m256.08 1 6 51 50.992000 27 40 0 755.000
si2-m4Dr6-m256.03 1 6 51 29.995000 21 15 0 794.000
si6-r01-m200.04 1 7 120 1357.793000 614 470 100000000 2520.00
si6-r01-m200.08 1 7 120 3477.471000 381 399 100000000 3694.000
si6-r01-m200.02 1 7 120 30169.413000 420 428 100000000 5574.000
si6-r01-m200.09 1 7 120 13595.933000 1253 1267 100000000 11496.000
si6-r01-m200.07 1 7 120 8414.720000 384 388 100000000 6004.000
si6-r01-m200.00 1 7 120 18056.255000 549 561 100000000 11665.000
si6-r01-m200.01 1 7 120 97509.176000 1436 1452 100000000 13467.000
si6-r01-m200.03 1 7 120 59720.921000 467 477 100000000 42857.000
si6-r01-m200.05 1 7 120 65967.971000 1268 1271 100000000 18058.000
si6-r01-m200.06 1 7 120 40179.891000 639 658 100000000 67317.000
si2-b03m-m800.03 1 4 160 29.995000 58 55 0 1592.000
si2-b03m-m800.02 1 4 160 24.996000 72 70 0 1670.00
si2-b03m-m800.09 1 4 160 29.995000 103 106 0 1762.000
si2-b03m-m800.04 1 4 160 31.995000 106 106 0 1618.000
si2-b03m-m800.06 1 4 160 24.996000 162 155 1 1492.000
si2-b03m-m800.05 1 4 160 29.995000 205 162 0 1908.000
si2-b03m-m800.01 1 4 160 41.993000 107 114 0 1673.000
si2-b03m-m800.08 1 4 160 29.995000 68 89 0 2007.000
si2-b03m-m800.07 1 4 160 28.995000 56 55 0 1872.000
si2-b03m-m800.00 1 4 160 27.995000 67 68 0 1553.000
si2-r001-m200.06 1 7 40 11.998000 5 5 12380978 648.000
si2-r001-m200.01 1 7 40 12.998000 9 10 100000000 608.000
si2-r001-m200.02 1 7 40 15.997000 7 11 100000000 843.000
si2-r001-m200.07 1 7 40 13.997000 6 6 1386937 730.00
si2-r001-m200.04 1 7 40 10.998000 5 6 3861944 717.000
si2-r001-m200.05 1 7 40 25.996000 6 6 4657397 910.00
si2-r001-m200.09 1 7 40 14.997000 6 7 100000000 734.000
si2-r001-m200.03 1 7 40 42.993000 8 7 100000000 633.000
si2-r001-m200.00 1 7 40 13.997000 5 5 9191048 699.000
si2-r001-m200.08 1 7 40 19.996000 6 9 100000000 635.000
si6-b03m-m800.01 1 4 480 80.987000 215 215 4 7614.000
si6-b03m-m800.08 1 4 480 104.984000 337 404 2 8968.000
si6-b03m-m800.03 1 4 480 72.988000 162 162 3 7194.000
si6-b03m-m800.00 1 4 480 86.986000 264 265 2 7654.000
si6-b03m-m800.04 1 4 480 81.987000 155 155 2 9218.000
si6-b03m-m800.05 1 4 480 78.987000 217 215 2 7614.000
si6-b03m-m800.07 1 4 480 74.988000 214 213 4 7446.000
si6-b03m-m800.06 1 4 480 111.982000 169 161 2 10020.00
si6-b03m-m800.09 1 4 480 68.989000 185 159 4 8144.000
si6-b03m-m800.02 1 4 480 70.989000 240 211 4 7797.000
si4-r005-m200.00 1 7 80 31445.219000 106 136 100000000 6136.000
si4-r005-m200.08 1 7 80 10172.453000 102 106 100000000 6176.000
si4-r005-m200.02 1 7 80 7118.917000 139 131 100000000 5919.000
si4-r005-m200.05 1 7 80 376.942000 101 102 100000000 1487.000
si4-r005-m200.06 1 7 80 281.957000 120 108 100000000 1080.00
si4-r005-m200.04 1 7 80 34754.716000 119 118 100000000 4004.000
si4-r005-m200.07 1 7 80 13127.004000 132 138 100000000 11264.000
si4-r005-m200.09 1 7 80 3845.415000 174 122 100000000 9653.000
si4-r005-m200.01 1 7 80 10660.379000 97 110 100000000 7738.000
si4-r005-m200.03 1 7 80 15114.702000 99 108 100000000 1079.000
si6-b09m-m400.03 1 4 240 50.992000 161 163 1 2350.00
si6-b09m-m400.07 1 4 240 49.992000 273 298 1 2203.000
si6-b09m-m400.00 1 4 240 47.992000 194 187 1 2371.000
si6-b09m-m400.04 1 4 240 61.990000 388 389 1 2962.000
si6-b09m-m400.06 1 4 240 48.992000 166 203 1 2214.000
si6-b09m-m400.08 1 4 240 46.992000 408 354 2 2396.000
si6-b09m-m400.02 1 4 240 48.992000 360 475 1 2555.000
si6-b09m-m400.05 1 4 240 45.993000 159 158 1 2552.000
si6-b09m-m400.09 1 4 240 78.987000 145 144 1 3039.000
si6-b09m-m400.01 1 4 240 62.990000 171 173 2 2391.000
si2-b09-m200.08 1 3 40 62.990000 24 24 0 605.000
si2-b09-m200.01 1 3 40 52.991000 23 24 0 686.000
si2-b09-m200.06 1 3 40 75.988000 24 26 0 627.000
si2-b09-m200.05 1 3 40 66.989000 24 27 0 604.000
si2-b09-m200.00 1 3 40 56.991000 24 36 0 600.0
si2-b09-m200.02 1 3 40 48.992000 23 24 0 624.000
si2-b09-m200.03 1 3 40 82.987000 26 25 0 674.000
si2-b09-m200.04 1 3 40 49.992000 28 26 0 584.000
si2-b09-m200.09 1 3 40 82.987000 24 32 0 728.000
si2-b09-m200.07 1 3 40 66.989000 34 24 0 617.000
si6-r01-m600.02 1 7 360 55001268.536000 70689 71550 100000000 100000000
si6-r01-m600.06 1 7 360 58524583.910000 61572 62332 100000000 67195853.000
si6-r01-m600.09 1 7 360 20972790.651000 28592 28639 100000000 100000000
si6-r01-m600.08 1 7 360 20756331.557000 204878 208294 100000000 32827811.000
si6-r01-m600.05 1 7 360 5229247.033000 45838 46672 100000000 19688071.000
si6-r01-m600.07 1 7 360 38754158.472000 242832 246921 100000000 100000000
si6-r01-m600.03 1 7 360 100000000 120199 121812 100000000 32399817.000
si6-r01-m600.00 1 7 360 32986886.231000 49157 49681 100000000 15339136.000
si6-r01-m600.01 1 7 360 34803480.066000 610211 620983 100000000 65534385.000
si6-r01-m600.04 1 7 360 31235474.486000 421077 428585 100000000 17169534.000
si2-b06-m200.02 1 3 40 47.992000 17 20 0 570.00
si2-b06-m200.00 1 3 40 60.990000 23 16 0 747.000
si2-b06-m200.01 1 3 40 50.992000 14 15 0 719.000
si2-b06-m200.06 1 3 40 39.993000 20 19 0 573.000
si2-b06-m200.09 1 3 40 34.994000 14 15 0 598.000
si2-b06-m200.07 1 3 40 37.994000 15 15 0 587.000
si2-b06-m200.04 1 3 40 33.994000 23 22 0 553.000
si2-b06-m200.08 1 3 40 33.994000 14 22 0 673.000
si2-b06-m200.03 1 3 40 34.994000 23 23 0 811.000
si2-b06-m200.05 1 3 40 51.992000 23 15 0 650.00
si6-m4Dr2-m1296.05 1 6 777 350.946000 723 714 8 34499.000
si6-m4Dr2-m1296.09 1 6 777 1125.828000 1153 987 8 33691.000
si6-m4Dr2-m1296.01 1 6 777 331.949000 1251 1692 8 35566.000
si6-m4Dr2-m1296.06 1 6 777 342.947000 1654 1658 8 36050.00
si6-m4Dr2-m1296.07 1 6 777 533.918000 856 855 8 38878.000
si6-m4Dr2-m1296.03 1 6 777 310.952000 1261 1265 9 34723.000
si6-m4Dr2-m1296.04 1 6 777 300.954000 2138 2142 8 32773.000
si6-m4Dr2-m1296.00 1 6 777 359.945000 1815 1586 9 33180.00
si6-m4Dr2-m1296.08 1 6 777 431.934000 1232 1451 8 31878.000
si6-m4Dr2-m1296.02 1 6 777 335.948000 1186 1208 9 36345.000
si2-b09m-m800.09 1 4 160 74.988000 206 182 1 2395.000
si2-b09m-m800.07 1 4 160 74.988000 360 357 1 2232.000
si2-b09m-m800.00 1 4 160 67.989000 222 211 1 1903.000
si2-b09m-m800.04 1 4 160 67.989000 327 298 1 2293.000
si2-b09m-m800.02 1 4 160 73.988000 470 430 1 1871.000
si2-b09m-m800.05 1 4 160 102.984000 211 209 1 2167.000
si2-b09m-m800.03 1 4 160 523.920000 233 237 1 1858.000
si2-b09m-m800.08 1 4 160 104.984000 382 459 1 1816.000
si2-b09m-m800.06 1 4 160 451.931000 234 233 1 1920.00
si2-b09m-m800.01 1 4 160 146.977000 226 216 1 2505.000
si4-b03-m400.01 1 3 160 419.936000 37 37 0 1080.00
si4-b03-m400.02 1 3 160 248.962000 36 38 0 1347.000
si4-b03-m400.05 1 3 160 362.944000 56 37 0 1448.000
si4-b03-m400.07 1 3 160 377.942000 40 44 0 1453.000
si4-b03-m400.06 1 3 160 330.949000 38 38 0 1525.000
si4-b03-m400.00 1 3 160 439.933000 41 37 0 1536.000
si4-b03-m400.03 1 3 160 443.932000 38 48 0 1301.000
si4-b03-m400.04 1 3 160 253.961000 59 59 0 1206.000
si4-b03-m400.09 1 3 160 233.964000 47 50 0 1198.000
si4-b03-m400.08 1 3 160 243.962000 59 39 0 1104.000
si2-b03-m200.05 1 3 40 29.995000 5 5 0 646.000
si2-b03-m200.09 1 3 40 15.997000 5 5 0 542.000
si2-b03-m200.07 1 3 40 16.997000 6 5 0 663.000
si2-b03-m200.01 1 3 40 18.997000 5 9 0 635.000
si2-b03-m200.08 1 3 40 26.995000 5 5 0 698.000
si2-b03-m200.02 1 3 40 17.997000 5 5 0 526.000
si2-b03-m200.04 1 3 40 16.997000 7 5 0 590.00
si2-b03-m200.03 1 3 40 15.997000 5 5 0 500.0
si2-b03-m200.06 1 3 40 29.995000 7 5 0 643.000
si2-b03-m200.00 1 3 40 29.995000 8 6 0 724.000
si4-r005-m600.00 1 7 240 4083973.141000 25505 25908 100000000 115201.000
si4-r005-m600.02 1 7 240 2002345.597000 7617 7626 100000000 716900.0
si4-r005-m600.08 1 7 240 829986.822000 27251 27655 100000000 1779023.000
