instance sat family size vbbjdpd tvbbjdpd
si2-m4D-m1296.00 1 5 1296 260 100000000
si4-b03-m800.05 1 3 800 321 100000000
si4-b03-m800.00 1 3 800 321 100000000
si4-b03-m800.08 1 3 800 321 100000000
si4-b03-m800.09 1 3 800 321 100000000
si4-b03-m800.03 1 3 800 321 100000000
si4-b03-m800.02 1 3 800 321 100000000
si4-b03-m800.04 1 3 800 321 100000000
si4-b03-m800.01 1 3 800 321 100000000
si4-b03-m800.06 1 3 800 321 100000000
si4-b03-m800.07 1 3 800 321 100000000
si6-m4D-m1296.02 1 5 1296 710 100000000
si6-m4D-m1296.07 1 5 1296 810 100000000
si6-m4D-m1296.05 1 5 1296 720 100000000
si6-m4D-m1296.09 1 5 1296 1078 100000000
si6-m4D-m1296.00 1 5 1296 115135747 100000000
si6-m4D-m1296.08 1 5 1296 707 100000000
si6-m4D-m1296.04 1 5 1296 689 100000000
si6-m4D-m1296.06 1 5 1296 7106 100000000
si6-m4D-m1296.01 1 5 1296 3408 100000000
si6-m4D-m1296.03 1 5 1296 33066 100000000
si6-r001-m200.05 1 7 200 121 100000000
si6-r001-m200.09 1 7 200 124 100000000
si6-r001-m200.07 1 7 200 121 100000000
si6-r001-m200.02 1 7 200 123 100000000
si6-r001-m200.01 1 7 200 121 100000000
si6-r001-m200.00 1 7 200 121 100000000
si6-r001-m200.04 1 7 200 123 100000000
si6-r001-m200.06 1 7 200 121 100000000
si6-r001-m200.08 1 7 200 121 100000000
si6-r001-m200.03 1 7 200 121 100000000
si4-b06-m400.06 1 3 400 161 100000000
si4-b06-m400.07 1 3 400 161 100000000
si4-b06-m400.09 1 3 400 161 100000000
si4-b06-m400.01 1 3 400 161 100000000
si4-b06-m400.04 1 3 400 161 100000000
si4-b06-m400.03 1 3 400 161 100000000
si4-b06-m400.00 1 3 400 161 100000000
si4-b06-m400.05 1 3 400 161 100000000
si4-b06-m400.08 1 3 400 161 100000000
si4-b06-m400.02 1 3 400 161 100000000
si2-m4Dr6-m256.06 1 6 256 62 100000000
si2-m4Dr6-m256.05 1 6 256 52 100000000
si2-m4Dr6-m256.09 1 6 256 53 100000000
si2-m4Dr6-m256.00 1 6 256 72 100000000
si2-m4Dr6-m256.07 1 6 256 52 100000000
si2-m4Dr6-m256.04 1 6 256 52 100000000
si2-m4Dr6-m256.02 1 6 256 62 100000000
si2-m4Dr6-m256.01 1 6 256 52 100000000
si2-m4Dr6-m256.08 1 6 256 130 100000000
si2-m4Dr6-m256.03 1 6 256 52 100000000
si6-r01-m200.04 1 7 200 939 100000000
si6-r01-m200.08 1 7 200 317 100000000
si6-r01-m200.02 1 7 200 1050 100000000
si6-r01-m200.09 1 7 200 21718 100000000
si6-r01-m200.07 1 7 200 627 100000000
si6-r01-m200.00 1 7 200 6107 100000000
si6-r01-m200.01 1 7 200 28146 100000000
si6-r01-m200.03 1 7 200 2510 100000000
si6-r01-m200.05 1 7 200 42222 100000000
si6-r01-m200.06 1 7 200 9286 100000000
si2-b03m-m800.03 1 4 800 161 100000000
si2-b03m-m800.02 1 4 800 161 100000000
si2-b03m-m800.09 1 4 800 161 100000000
si2-b03m-m800.04 1 4 800 161 100000000
si2-b03m-m800.06 1 4 800 161 100000000
si2-b03m-m800.05 1 4 800 161 100000000
si2-b03m-m800.01 1 4 800 161 100000000
si2-b03m-m800.08 1 4 800 161 100000000
si2-b03m-m800.07 1 4 800 161 100000000
si2-b03m-m800.00 1 4 800 161 100000000
si2-r001-m200.06 1 7 200 41 100000000
si2-r001-m200.01 1 7 200 52 100000000
si2-r001-m200.02 1 7 200 342 100000000
si2-r001-m200.07 1 7 200 42 100000000
si2-r001-m200.04 1 7 200 56 100000000
si2-r001-m200.05 1 7 200 43 100000000
si2-r001-m200.09 1 7 200 42 100000000
si2-r001-m200.03 1 7 200 48 100000000
si2-r001-m200.00 1 7 200 43 100000000
si2-r001-m200.08 1 7 200 41 100000000
si6-b03m-m800.01 1 4 800 481 100000000
si6-b03m-m800.08 1 4 800 481 100000000
si6-b03m-m800.03 1 4 800 481 100000000
si6-b03m-m800.00 1 4 800 481 100000000
si6-b03m-m800.04 1 4 800 481 100000000
si6-b03m-m800.05 1 4 800 481 100000000
si6-b03m-m800.07 1 4 800 481 100000000
